iter	Passed	Remaining
0	137	137169
1	141	70410
2	145	48281
3	149	37186
4	152	30423
5	156	25973
6	160	22817
7	164	20425
8	168	18579
9	172	17073
10	178	16081
11	181	14934
12	184	13970
13	185	13088
14	187	12329
15	189	11669
16	191	11069
17	192	10526
18	194	10037
19	195	9596
20	197	9189
21	198	8820
22	199	8481
23	200	8173
24	202	7913
25	204	7648
26	205	7401
27	206	7166
28	207	6950
29	208	6746
30	209	6554
31	210	6373
32	211	6205
33	212	6044
34	213	5894
35	214	5751
36	215	5618
37	217	5494
38	218	5375
39	219	5262
40	220	5152
41	221	5050
42	222	4952
43	223	4856
44	224	4765
45	225	4678
46	226	4594
47	227	4514
48	228	4438
49	229	4363
50	230	4291
51	231	4225
52	232	4158
53	233	4095
54	234	4033
55	235	3973
56	236	3915
57	237	3860
58	238	3806
59	239	3753
60	240	3703
61	241	3654
62	242	3607
63	243	3561
64	244	3516
65	245	3474
66	246	3435
67	247	3395
68	248	3356
69	249	3318
70	250	3280
71	251	3243
72	252	3208
73	253	3173
74	254	3139
75	255	3106
76	256	3074
77	257	3042
78	258	3012
79	259	2982
80	260	2952
81	261	2925
82	261	2893
83	262	2866
84	263	2840
85	264	2814
86	265	2789
87	266	2765
88	267	2741
89	268	2717
90	269	2695
91	270	2672
92	271	2649
93	272	2628
94	273	2607
95	274	2586
96	275	2567
97	276	2547
98	277	2528
99	278	2508
100	279	2489
101	280	2471
102	281	2453
103	282	2435
104	283	2418
105	284	2401
106	285	2384
107	286	2368
108	287	2352
109	288	2337
110	289	2321
111	290	2307
112	291	2291
113	292	2276
114	293	2261
115	294	2246
116	295	2231
117	296	2218
118	297	2204
119	298	2190
120	299	2177
121	300	2163
122	301	2150
123	302	2137
124	303	2124
125	304	2112
126	305	2099
127	306	2087
128	307	2076
129	308	2065
130	309	2053
131	310	2042
132	311	2030
133	312	2020
134	313	2009
135	314	1999
136	315	1988
137	316	1978
138	317	1967
139	318	1957
140	319	1947
141	320	1936
142	321	1926
143	322	1917
144	323	1908
145	324	1898
146	325	1889
147	326	1880
148	327	1871
149	328	1861
150	329	1853
151	330	1844
152	331	1835
153	332	1826
154	333	1818
155	334	1810
156	335	1802
157	336	1793
158	337	1785
159	338	1777
160	339	1767
161	340	1760
162	341	1752
163	342	1744
164	343	1737
165	344	1729
166	345	1722
167	346	1714
168	347	1707
169	348	1700
170	349	1692
171	350	1686
172	351	1680
173	352	1673
174	353	1666
175	354	1660
176	355	1653
177	356	1646
178	357	1639
179	358	1632
180	359	1626
